procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
50  0 1840140 840768  91760 3245212    0    0     0   136 29130 186221 15  6 78  0  0  0
51  0 1840140 845884  91760 3241660    0    0     0   644 28865 185661 14  7 79  0  0  0
51  0 1840140 850776  91760 3239504    0    0     0    12 29266 186507 16  7 77  0  0  0
52  0 1840140 846524  91760 3239384    0    0     0     0 29672 186650 13  8 79  0  0  0
 3  0 1840140 871208  91760 3214664    0    0     0     0 29514 187030 14  7 79  0  0  0
52  0 1840140 873536  91768 3210576    0    0     0   100 29109 185851 14  8 78  0  0  0
51  0 1840140 838652  91792 3210620    0    0     0   116 30177 185983 17  7 76  0  0  0
50  0 1840140 862252  91792 3210652    0    0     0   228 29871 188041 14  7 79  0  0  0
53  0 1840140 874272  91792 3210676    0    0     0     0 28053 183521 13  8 79  0  0  0
50  0 1840140 877152  91792 3210676    0    0     0     4 28860 186022 15  7 79  0  0  0
50  0 1840140 857596  91808 3227192    0    0     0   144 29282 184249 15  8 76  0  0  0
52  0 1840140 860588  91816 3239860    0    0     0   172 29330 184917 17  7 76  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
51  0 1840140 852620  91816 3244296    0    0     0     0 29263 184599 15  7 78  0  0  0
52  0 1840140 818616  91816 3274288    0    0     0     8 30327 185984 14  8 77  0  0  0
51  0 1840140 805396  91816 3290912    0    0     0    20 29657 184620 16  7 77  0  0  0
50  0 1840140 802800  91824 3284588    0    0     0    84 29109 186297 13  8 79  0  0  0
52  0 1840140 776488  91824 3298944    0    0     0     0 31177 183917 17  7 75  0  0  0
 2  0 1840140 761860  91832 3310400    0    0     0    24 30393 184762 16  8 76  0  0  0
53  0 1840140 772440  91832 3307344    0    0     0   224 29422 183923 15  7 78  0  0  0
51  0 1840140 799952  91848 3277384    0    0     0   148 29999 187448 14  7 79  0  0  0
43  0 1840140 832820  91848 3255348    0    0     0     8 30318 188923 13  8 79  0  0  0
53  0 1840140 839308  91880 3251488    0    0     0   616 31281 187830 16  7 76  0  0  0
52  0 1840140 842204  91888 3254096    0    0     0    24 31385 184192 18  8 74  0  0  0
56  0 1840140 848436  91888 3253696    0    0     0   168 28782 187049 14  8 78  0  0  0
16  0 1840140 849376  91888 3251452    0    0     0    48 29870 184019 16  7 76  0  0  0
51  0 1840140 851284  91888 3247288    0    0     0     0 27460 183887 14  7 79  0  0  0
51  0 1840140 851368  91904 3247312    0    0     0   172 29573 185376 14  7 79  0  0  0
52  1 1840140 862400  91904 3232708    0    0     0    44 29207 187437 13  7 79  0  0  0
51  0 1840140 858148  91912 3232620    0    0     8   112 29334 186028 16  6 78  0  0  0
51  0 1840140 870108  91912 3218304    0    0     0    32 28448 184414 15  7 78  0  0  0
50  0 1840140 868284  91912 3218272    0    0     0     0 28658 185916 14  8 78  0  0  0
53  0 1840140 849272  91920 3234840    0    0     0   136 31343 185992 17  8 75  0  0  0
52  0 1840140 849552  91936 3237296    0    0     0    96 30606 184503 15  7 78  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
52  1 1840140 804036  91968 3273896    0    0   268 37008 30174 185277 15  8 76  1  0  0
52  0 1840140 805692  92036 3232296  100    0   520  1612 29678 185693 17  7 75  1  0  0
51  0 1840140 809560  92036 3232176    0    0     0     4 28787 186099 14  8 78  0  0  0
51  0 1840140 833304  92036 3217756    0    0     0   236 29207 184500 14  7 79  0  0  0
 2  0 1840140 836912  92036 3217756    0    0     0     0 28942 186781 14  7 79  0  0  0
51  0 1840140 832968  92036 3217512    0    0     0   860 29907 186405 16  8 77  0  0  0
52  0 1840140 834216  92052 3217764    0    0     0   104 28167 184085 15  7 78  0  0  0
51  0 1840140 790720  92068 3234456    0    0     0   100 29380 184948 15  7 78  0  0  0
51  0 1840140 779316  92084 3234476    0    0     0    72 29912 182380 17  8 75  0  0  0
51  0 1840140 809088  92084 3232312    0    0     0     0 32063 190365 15  8 77  0  0  0
51  0 1840140 811180  92084 3232968    0    0     0   248 29364 186390 14  7 79  0  0  0
51  0 1840140 827780  92092 3233024    0    0     0    24 30678 188025 15  7 78  0  0  0
49  0 1840140 850224  92092 3218464    0    0     0     0 30786 187226 18  7 75  0  0  0
46  0 1840140 856764  92116 3218004    0    0     0   528 27549 172004 13  7 80  0  0  0
22  0 1840140 866120  92116 3218052    0    0     0    16 27804 165639 13  7 80  0  0  0
26  0 1840140 851812  92116 3218060    0    0     0    88 29863 180323 14  7 79  0  0  0
51  0 1840140 849872  92116 3218064    0    0     0     0 30560 188424 15  6 79  0  0  0
52  0 1840140 908092  92124 3164648    0    0     0    16 29908 188081 17  8 75  0  0  0
51  0 1840140 918504  92132 3164816    0    0     0   524 29137 185023 14  7 79  0  0  0
54  0 1840140 913044  92148 3164240    0    0     0   152 30174 188600 14  7 79  0  0  0
52  0 1840140 918512  92148 3155296    0    0     0     0 31139 187828 17  7 76  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
52  0 1840140 913376  92148 3155328    0    0     0   180 29449 186457 14  7 79  0  0  0
50  0 1840140 916196  92156 3155264    0    0     0    24 29213 185721 14  7 78  0  0  0
53  0 1840140 916468  92196 3155416    0    0     0   380 30573 187822 15  7 79  0  0  0
51  0 1840140 918024  92204 3155444    0    0     0   124 29138 185365 14  7 79  0  0  0
50  0 1840140 926200  92212 3155768    4    0   224   172 29029 186925 14  8 78  0  0  0
51  0 1840140 933340  92228 3155700    0    0     0   208 27615 183570 14  7 80  0  0  0
25  0 1840140 931504  92236 3155460    0    0     0   188 29346 186528 14  7 79  0  0  0
51  0 1840140 929632  92236 3155756    0    0     0     0 26616 182638 15  7 78  0  0  0
51  0 1840140 929732  92236 3155756    0    0     0     0 27922 184439 14  8 79  0  0  0
51  0 1840140 927196  92244 3155788    0    0     0    28 29431 187727 14  7 79  0  0  0
52  0 1840140 924044  92244 3156460    0    0     0  2720 30222 184442 17  7 76  0  0  0
50  0 1840140 924020  92260 3156556    0    0     0   172 30220 187595 14  7 79  0  0  0
51  0 1840140 924812  92260 3156124    0    0     0     0 28497 186374 13  8 79  0  0  0
50  0 1840140 925836  92260 3156004    0    0     0     0 28612 185027 13  8 79  0  0  0
52  0 1840140 921880  92268 3155996    4    0     4    20 29378 186028 14  7 79  0  0  0
 2  0 1840140 926832  92276 3155912    0    0     8    52 30931 188782 13  8 79  0  0  0
52  0 1840140 920204  92276 3155932    0    0     0    88 29658 187141 14  7 79  0  0  0
53  0 1840140 919820  92292 3155984    0    0     0   128 29814 186881 15  8 78  0  0  0
52  0 1840140 918080  92308 3155968    0    0     0   100 27874 184519 15  7 79  0  0  0
51  0 1840140 915988  92308 3156244    0    0     0     0 28971 185922 14  8 78  0  0  0
53  0 1840140 925380  92316 3156476    0    0     0    20 29976 188520 17  7 76  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
51  0 1840140 924748  92316 3156392    0    0     0     8 29504 186045 14  7 79  0  0  0
51  0 1840140 891152  92316 3191780    0    0     0    88 31587 186820 15  9 75  1  0  0
54  0 1840140 888736  92324 3191776    0    0     0    40 31598 187142 16  7 77  0  0  0
51  0 1840140 908232  92324 3175592    0    0     0     0 29227 179330 19  7 74  0  0  0
