Linux 6.12.33+kali-amd64 (two94) 	23/11/25 	_x86_64_	(12 CPU)

12:01:51 AM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:03:36 AM IST  all   12.74    0.00    4.27    0.09    0.00    1.54    0.00    0.00    0.00   81.37
12:03:37 AM IST  all   13.45    0.00    4.74    0.08    0.00    1.35    0.00    0.00    0.00   80.37
12:03:38 AM IST  all   12.50    0.00    4.85    0.09    0.00    1.36    0.00    0.00    0.00   81.21
12:03:39 AM IST  all   12.55    0.00    4.70    0.09    0.00    1.37    0.00    0.00    0.00   81.30
12:03:40 AM IST  all   13.49    0.00    4.75    0.08    0.00    1.36    0.00    0.00    0.00   80.32
12:03:41 AM IST  all   12.49    0.00    4.93    0.17    0.00    1.61    0.00    0.00    0.00   80.80
12:03:42 AM IST  all   12.74    0.00    4.93    0.08    0.00    1.27    0.00    0.00    0.00   80.97
12:03:43 AM IST  all   13.24    0.00    4.33    0.00    0.00    1.70    0.00    0.00    0.00   80.73
12:03:44 AM IST  all   12.72    0.00    4.92    0.25    0.00    1.61    0.00    0.00    0.00   80.49
12:03:45 AM IST  all   13.20    0.00    4.17    0.09    0.00    1.62    0.00    0.00    0.00   80.92
12:03:46 AM IST  all   12.66    0.00    4.88    0.09    0.00    1.11    0.00    0.00    0.00   81.27
12:03:47 AM IST  all   13.24    0.00    4.58    0.08    0.00    1.27    0.00    0.00    0.00   80.81
12:03:48 AM IST  all   13.50    0.00    4.58    0.08    0.00    1.36    0.00    0.00    0.00   80.48
12:03:49 AM IST  all   12.03    0.00    4.69    0.09    0.00    1.71    0.00    0.00    0.00   81.48
12:03:50 AM IST  all   13.02    0.00    4.51    0.09    0.00    1.53    0.00    0.00    0.00   80.85
12:03:51 AM IST  all   12.92    0.00    5.24    0.17    0.00    1.44    0.00    0.00    0.00   80.24
12:03:52 AM IST  all   12.36    0.00    4.46    0.09    0.00    1.55    0.00    0.00    0.00   81.55
12:03:53 AM IST  all   11.98    0.00    5.27    0.08    0.00    1.78    0.00    0.00    0.00   80.88
12:03:54 AM IST  all   12.07    0.00    5.57    0.08    0.00    1.52    0.00    0.00    0.00   80.76
12:03:55 AM IST  all   12.63    0.00    5.03    0.09    0.00    1.37    0.00    0.00    0.00   80.89
12:03:56 AM IST  all   12.41    0.00    4.85    0.09    0.00    1.87    0.00    0.00    0.00   80.78
12:03:57 AM IST  all   12.89    0.00    5.39    0.08    0.00    1.52    0.00    0.00    0.00   80.12
12:03:58 AM IST  all   13.08    0.00    4.67    0.17    0.00    1.53    0.00    0.00    0.00   80.54
12:03:59 AM IST  all   12.83    0.00    5.15    0.08    0.00    1.69    0.00    0.00    0.00   80.25
12:04:00 AM IST  all   12.35    0.00    4.99    0.08    0.00    1.95    0.00    0.00    0.00   80.63
12:04:01 AM IST  all   12.64    0.00    4.18    0.09    0.00    1.71    0.00    0.00    0.00   81.38
