procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
44  0 1840908 371368  34748 3483384    0    0     0  1936 28854 175275 14  7 79  0  0  0
39  1 1840908 368220  34748 3483976    0    0     0  1932 28044 174105 12  7 81  0  0  0
44  0 1840908 366624  34812 3487968    0    0    12  5352 26722 173548 13  7 80  0  0  0
42  1 1840908 353496  34812 3490548    0    0     0  4128 27831 171884 15  7 78  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
47  0 1840908 351232  34812 3491700    0    0     0  2744 28258 173924 13  6 81  0  0  0
51  0 1840908 348216  34820 3492472    0    0     0  2576 29743 177749 13  7 81  0  0  0
52  0 1840908 347320  34820 3493144    0    0     0  2408 28392 174627 16  7 77  0  0  0
45  0 1840908 344572  34828 3493316    0    0     0  2116 28068 173649 13  7 80  0  0  0
 3  0 1840908 342900  34828 3493760    0    0     0  2232 29401 177147 13  7 80  0  0  0
39  0 1840908 344616  34828 3493988    0    0     0  2056 28813 174129 14  7 79  0  0  0
38  0 1840908 343544  34836 3495112    0    0     0  2044 29145 175735 14  8 79  0  0  0
50  0 1840908 341320  34836 3495652    0    0     0  2312 28839 176567 14  6 80  0  0  0
52  0 1840908 302652  34844 3496404    0    0     0  1960 29876 175619 14  7 79  0  0  0
44  0 1840908 304196  34860 3496916    0    0     0  3136 28974 175001 13  7 80  0  0  0
49  0 1840908 298952  34860 3497328    0    0     0  1976 28220 175696 13  7 81  0  0  0
46  0 1840908 289212  34860 3497444    0    0     0  2312 27947 170074 14  7 79  0  0  0
50  0 1840908 287632  34860 3498084    0    0     0  2184 27655 166070 14  7 79  0  0  0
47  0 1840908 309764  34868 3498452    0    0     0  2060 28018 170362 12  7 80  0  0  0
52  0 1840908 262012  34876 3543612    0    0     0  2088 29077 166709 19  8 73  1  0  0
52  0 1840908 218840  34884 3565012    0    0     0  1924 29920 172070 18  7 75  0  0  0
54  0 1840908 216760  34884 3571940    0    0     0  1800 29312 168679 18  6 74  1  0  0
41  0 1840908 230284  34884 3564124    0    0     0  1896 29683 168595 16  7 74  3  0  0
51  0 1840908 168488  34892 3627904    0    0     0  1856 28639 169618 16  7 76  1  0  0
43  0 1840908 268484  34892 3541364    0    0     0  2024 29732 176957 17  7 76  0  0  0
 6  1 1840908 213116  34900 3602104    0    0     0  2364 29337 174064 15  7 77  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
44  0 1840908 185348  34900 3618792    0    0     0  2016 30218 176596 14  8 78  0  0  0
54  0 1840908 184004  34908 3624484    0    0     8  1820 30519 174884 16  8 75  0  0  0
51  0 1840908 171940  34924 3631212    0    0     8  2748 30337 174320 19  7 74  1  0  0
42  0 1840908 187784  34940 3602324    0    0     0  2212 29532 174492 15  7 77  0  0  0
51  0 1840908 131416  34940 3636568    0    0     0  1816 30103 174416 16  7 76  0  0  0
48  0 1840908 199168  34948 3599092    0    0     0  1756 30514 162535 23  8 69  0  0  0
52  0 1840908 212680  34956 3592260    0    0     0  2028 30006 167622 19  7 74  0  0  0
37  0 1840908 201604  34956 3592692    0    0     0  1868 29525 160991 17  7 76  0  0  0
51  0 1840908 189468  34956 3598856    0    0     0  1576 30641 169964 19  7 73  1  0  0
50  0 1840908 198024  34956 3589600    0    0     0  1952 29533 169658 19  7 74  0  0  0
54  0 1840908 207824  34964 3589612    0    0     0  1796 30578 169800 18  7 75  0  0  0
55  0 1840908 177064  34972 3619028    0    0     0  1740 28166 148960 30  8 62  1  0  0
54  0 1840908 159164  34972 3638872    0    0     0  1684 27548 141481 35  8 57  0  0  0
40  0 1840908 147116  34972 3636744    0    0     0  1520 27684 149890 31  8 60  1  0  0
43  0 1840908 132128  34972 3627516    0    0     0  1408 27626 142516 37  8 54  1  0  0
47  2 1840908 163324  34988 3592400    0    0     0  1500 27556 140249 37  8 54  0  0  0
53  0 1840908 150056  34996 3574804    0    0     0  1708 26160 133951 39  7 52  1  0  0
65  0 1840908 135472  34996 3556700    0    0     0  1248 24914 121578 47  7 45  1  0  0
 4  0 1840908 143412  34996 3506396    0    0     0  1240 25785 120727 53 10 37  1  0  0
47  0 1840908 151748  34996 3412748    0    0     0  1376 24368 116690 48 11 40  1  0  0
51  0 1840908 127764  35004 3343608    0    0     0  1616 26257 124365 42 11 47  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
37  1 1863180 276828  30364 3186972   48 18508   152 19948 25553 124016 38 10 52  0  0  0
43  0 1863180 245892  30436 3188732    0    0    68  2088 25970 138942 35  8 57  0  0  0
50  0 1879308 179976  27884 3148976    0 12768    64 14596 30639 133217 44  9 46  1  0  0
46  0 1894156 204020  26744 3118860    4 13548    16 15896 28570 144789 39  9 52  0  0  0
42  0 1927180 171968  23336 3066284    0 25156    16 26828 29305 165471 32  8 58  1  0  0
43  0 1976076 150672  18656 2970776   12 41108   136 43216 30341 166314 29  9 62  1  0  0
50  0 2052620 177832  13572 2789176    4 43228    64 45120 31575 172129 25  9 65  2  0  0
54  0 2112012 432704  13108 2738196    0 55312     0 57100 29362 165506 27  8 63  1  0  0
52  0 2112012 212088  13108 2752112    0    0     4  2028 28995 167415 25  8 66  0  0  0
45  0 2160140 363748   8440 2573768  380 42140   388 43740 28182 163652 21  9 69  1  0  0
 5  1 2160140 525472   8608 2563584    0    0   160  1676 29367 162902 28 10 62  0  0  0
51  0 2160140 331684   8608 2564828    0    0    64  2044 28896 173613 24  8 68  0  0  0
50  0 2160140 503604   8628 2564520    0    0    36  3356 27724 163448 27  8 65  0  0  0
40  0 2160140 330380   8636 2567456    0    0     8  1808 29974 175854 22  8 70  0  0  0
59  0 2160140 559360   8672 2573232    0    0    28  2256 30452 166884 24  9 67  0  0  0
49  0 2160140 617552   8828 2577948   64    0   328  1764 29307 165588 24  8 67  0  0  0
53  0 2160908 583076   8828 2581664    0  796  1128  2492 28391 168888 26  8 66  0  0  0
50  0 2160140 795416   8984 2597724  864    0  2552  3148 30131 172654 26  7 65  1  0  0
44  1 2160140 774572   9024 2607912   36    0  1468  2308 29741 172260 16  7 76  1  0  0
43  0 2153740 818608   9032 2539316 6284    0  6496  1912 29951 173216 16  8 75  1  0  0
40  0 2153740 824744   9056 2541552   28    0    28  1968 29981 178489 18  7 75  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
50  0 2153740 866636   9076 2503100   16    0    72  2376 29236 174418 17  7 76  0  0  0
52  0 2153740 904492   9192 2458880    0    0   248  2240 29363 160886 28  7 64  0  0  0
54  0 2153740 907184   9196 2447280    0    0   100  1800 29436 173197 15  7 78  0  0  0
46  0 2153740 916264   9404 2447188    0    0   252  1916 28925 173429 16  7 77  0  0  0
52  0 2152204 925836   9412 2432116 1512    0  1996  1840 29145 174312 14  8 78  0  0  0
51  0 2152204 911900   9424 2433060    0    0    60  1912 30076 178168 16  8 76  0  0  0
41  0 2152204 923556   9424 2427976    0    0     0  2836 28054 175347 14  7 80  0  0  0
52  0 2152204 935916   9432 2430744   16    0   568  2180 29405 176154 17  7 76  0  0  0
51  0 2152204 898764   9444 2463172  108    0   388  1720 28258 162985 17  7 75  1  0  0
50  0 2151692 857812   9864 2518480  408    0   972  1732 29526 165038 19  7 74  0  0  0
57  0 2147596 1377032   9872 2533684 3968    0  4216  1636 33247 135182 40  8 52  0  0  0
50  0 2147596 1418932   9916 2513580  588    0   780  2292 26752 152218 26  6 67  0  0  0
51  0 2147596 1445660   9928 2493208    0    0    12  1864 30464 176132 17  7 75  0  0  0
48  0 2147596 1443112   9944 2485480    0    0     0  2132 30554 173614 16  7 76  0  0  0
39  0 2147596 1414216  10024 2503632  224    0   660  1836 29589 163288 21  8 71  1  0  0
45  2 2147596 1413628  10156 2504080    0    0   192  1848 30062 172044 14  8 78  0  0  0
52  0 2147596 1427040  10156 2495608    0    0     0  2664 29779 170930 15  7 77  1  0  0
40  0 2147596 1427540  10156 2491400    0    0     0  1816 29761 169733 14  8 78  0  0  0
37  1 2147596 1436068  10164 2468564    0    0     0  1940 30122 172971 15  7 77  0  0  0
53  0 2147596 1396096  10524 2481452  264    0   656  2256 29564 167977 17  8 74  1  0  0
