Linux 6.12.33+kali-amd64 (two94) 	22/11/25 	_x86_64_	(12 CPU)

10:54:24 PM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:56:11 PM IST  all   16.70    0.00    6.90    0.00    0.00    3.66    0.00    0.00    0.00   72.74
10:56:12 PM IST  all   16.67    0.00    7.40    0.00    0.00    2.72    0.00    0.00    0.00   73.21
10:56:13 PM IST  all   17.38    0.00    6.88    0.08    0.00    3.27    0.00    0.00    0.00   72.38
10:56:14 PM IST  all   15.65    0.00    7.74    0.00    0.00    2.89    0.00    0.00    0.00   73.72
10:56:15 PM IST  all   16.60    0.00    8.55    0.00    0.00    2.03    0.00    0.00    0.00   72.82
10:56:16 PM IST  all   16.98    0.00    7.35    0.00    0.00    3.12    0.00    0.00    0.00   72.55
10:56:17 PM IST  all   16.61    0.00    8.22    0.08    0.00    2.77    0.00    0.00    0.00   72.32
10:56:18 PM IST  all   15.70    0.00    7.72    0.00    0.00    3.23    0.00    0.00    0.00   73.34
10:56:19 PM IST  all   17.02    0.00    6.74    0.00    0.00    3.29    0.00    0.00    0.00   72.96
10:56:20 PM IST  all   16.20    0.00    7.81    0.00    0.00    3.86    0.00    0.00    0.00   72.12
10:56:21 PM IST  all   16.33    0.00    8.08    0.00    0.00    3.20    0.00    0.00    0.00   72.39
10:56:22 PM IST  all   15.80    0.00    7.73    0.00    0.00    3.23    0.00    0.00    0.00   73.24
10:56:23 PM IST  all   16.51    0.00    7.11    0.00    0.00    3.39    0.00    0.00    0.00   72.99
10:56:24 PM IST  all   16.84    0.00    7.32    0.00    0.00    3.03    0.00    0.00    0.00   72.81
10:56:25 PM IST  all   16.64    0.00    7.52    0.00    0.00    2.87    0.00    0.00    0.00   72.97
10:56:26 PM IST  all   15.97    0.00    8.58    0.00    0.00    3.14    0.00    0.00    0.00   72.30
10:56:27 PM IST  all   16.03    0.00    7.46    0.00    0.00    2.54    0.00    0.00    0.00   73.96
10:56:28 PM IST  all   16.55    0.00    7.26    0.00    0.00    3.38    0.00    0.00    0.00   72.80
10:56:29 PM IST  all   15.85    0.00    8.60    0.08    0.00    3.12    0.00    0.00    0.00   72.34
10:56:30 PM IST  all   16.74    0.00    7.06    0.00    0.00    3.28    0.00    0.00    0.00   72.92
10:56:31 PM IST  all   16.34    0.00    7.58    0.00    0.00    3.29    0.00    0.00    0.00   72.79
10:56:32 PM IST  all   17.77    0.00    8.84    0.77    0.00    3.06    0.00    0.00    0.00   69.56
10:56:33 PM IST  all   16.77    0.00    7.28    5.93    0.00    3.39    0.00    0.00    0.00   66.64
10:56:34 PM IST  all   17.83    0.00    7.91    4.79    0.00    2.44    0.00    0.00    0.00   67.03
10:56:35 PM IST  all   15.75    0.00    8.04    4.23    0.00    3.64    0.00    0.00    0.00   68.33
10:56:36 PM IST  all   16.35    0.00    8.18    3.07    0.00    2.98    0.00    0.00    0.00   69.42
10:56:37 PM IST  all   16.47    0.00    7.89    2.72    0.00    2.55    0.00    0.00    0.00   70.37
10:56:38 PM IST  all   17.09    0.00    6.89    2.47    0.00    3.23    0.00    0.00    0.00   70.32
10:56:39 PM IST  all   17.01    0.00    6.24    1.88    0.00    3.08    0.00    0.00    0.00   71.79
10:56:40 PM IST  all   17.35    0.00    7.29    1.42    0.00    3.27    0.00    0.00    0.00   70.66
10:56:41 PM IST  all   15.97    0.00    7.82    0.59    0.00    2.97    0.00    0.00    0.00   72.64
10:56:42 PM IST  all   20.14    0.00    7.31    0.17    0.00    2.72    0.00    0.00    0.00   69.67
10:56:43 PM IST  all   18.56    0.00    8.30    0.00    0.00    2.82    0.00    0.00    0.00   70.32
10:56:44 PM IST  all   16.46    0.00    6.72    0.00    0.00    3.53    0.00    0.00    0.00   73.30
10:56:45 PM IST  all   16.23    0.00    7.69    0.00    0.00    3.13    0.00    0.00    0.00   72.95
10:56:46 PM IST  all   16.44    0.00    7.29    0.00    0.00    2.63    0.00    0.00    0.00   73.64
10:56:47 PM IST  all   16.28    0.00    7.59    0.00    0.00    2.81    0.00    0.00    0.00   73.32
10:56:48 PM IST  all   15.66    0.00    8.21    0.00    0.00    2.88    0.00    0.00    0.00   73.24
10:56:49 PM IST  all   16.55    0.00    7.90    0.00    0.00    3.11    0.00    0.00    0.00   72.44
10:56:50 PM IST  all   15.94    0.00    7.42    0.00    0.00    3.46    0.00    0.00    0.00   73.19
10:56:51 PM IST  all   15.70    0.00    7.72    0.00    0.00    3.40    0.00    0.00    0.00   73.17
10:56:52 PM IST  all   16.47    0.00    7.35    0.08    0.00    2.79    0.00    0.00    0.00   73.31
10:56:53 PM IST  all   16.20    0.00    7.14    0.00    0.00    3.36    0.00    0.00    0.00   73.30
10:56:54 PM IST  all   15.87    0.00    7.56    0.00    0.00    2.80    0.00    0.00    0.00   73.77
10:56:55 PM IST  all   15.63    0.00    7.65    0.00    0.00    3.48    0.00    0.00    0.00   73.24
10:56:56 PM IST  all   15.96    0.00    7.85    0.00    0.00    2.87    0.00    0.00    0.00   73.31
10:56:57 PM IST  all   15.55    0.00    6.97    0.00    0.00    3.57    0.00    0.00    0.00   73.92
10:56:58 PM IST  all   16.32    0.00    8.03    0.00    0.00    3.10    0.00    0.00    0.00   72.55
10:56:59 PM IST  all   15.37    0.00    7.43    0.00    0.00    3.72    0.00    0.00    0.00   73.48
10:57:00 PM IST  all   15.77    0.00    7.59    0.00    0.00    3.29    0.00    0.00    0.00   73.36
10:57:01 PM IST  all   15.85    0.00    7.12    0.00    0.00    3.47    0.00    0.00    0.00   73.56
10:57:02 PM IST  all   15.62    0.00    7.30    0.00    0.00    3.06    0.00    0.00    0.00   74.02
10:57:03 PM IST  all   16.26    0.00    7.16    0.00    0.00    3.20    0.00    0.00    0.00   73.38
10:57:04 PM IST  all   16.57    0.00    7.78    0.00    0.00    2.45    0.00    0.00    0.00   73.20
10:57:05 PM IST  all   16.12    0.00    7.43    0.08    0.00    3.04    0.00    0.00    0.00   73.33
10:57:06 PM IST  all   16.64    0.00    8.24    0.00    0.00    2.86    0.00    0.00    0.00   72.27
10:57:07 PM IST  all   18.80    0.00    8.30    0.00    0.00    3.13    0.00    0.00    0.00   69.77
10:57:08 PM IST  all   15.90    0.00    8.41    0.00    0.00    3.03    0.00    0.00    0.00   72.67
10:57:09 PM IST  all   15.81    0.00    8.11    0.00    0.00    3.21    0.00    0.00    0.00   72.87
10:57:10 PM IST  all   16.02    0.00    6.86    0.00    0.00    3.14    0.00    0.00    0.00   73.98
10:57:11 PM IST  all   16.02    0.00    8.14    0.00    0.00    3.19    0.00    0.00    0.00   72.65
10:57:12 PM IST  all   16.17    0.00    7.28    0.00    0.00    3.13    0.00    0.00    0.00   73.41
10:57:13 PM IST  all   16.20    0.00    7.17    0.00    0.00    3.54    0.00    0.00    0.00   73.08
10:57:14 PM IST  all   15.97    0.00    6.97    0.00    0.00    3.31    0.00    0.00    0.00   73.75
10:57:15 PM IST  all   16.48    0.00    7.61    0.00    0.00    3.21    0.00    0.00    0.00   72.70
10:57:16 PM IST  all   15.44    0.00    8.78    0.00    0.00    3.29    0.00    0.00    0.00   72.49
10:57:17 PM IST  all   15.17    0.00    8.81    0.00    0.00    3.39    0.00    0.00    0.00   72.63
10:57:18 PM IST  all   16.43    0.00    6.69    0.08    0.00    3.39    0.00    0.00    0.00   73.41
10:57:19 PM IST  all   16.36    0.00    7.03    0.00    0.00    2.97    0.00    0.00    0.00   73.64
10:57:20 PM IST  all   16.02    0.00    6.95    0.00    0.00    3.22    0.00    0.00    0.00   73.81
10:57:21 PM IST  all   16.34    0.00    7.54    0.00    0.00    3.05    0.00    0.00    0.00   73.07
10:57:22 PM IST  all   15.35    0.00    6.96    0.00    0.00    3.82    0.00    0.00    0.00   73.88
10:57:23 PM IST  all   16.67    0.00    7.07    0.08    0.00    3.03    0.00    0.00    0.00   73.15
10:57:24 PM IST  all   15.76    0.00    7.20    0.00    0.00    3.47    0.00    0.00    0.00   73.56
10:57:25 PM IST  all   15.79    0.00    7.18    0.00    0.00    3.38    0.00    0.00    0.00   73.65
10:57:26 PM IST  all   14.94    0.00    7.22    0.00    0.00    3.90    0.00    0.00    0.00   73.94
10:57:27 PM IST  all   15.21    0.00    8.24    0.00    0.00    2.72    0.00    0.00    0.00   73.83
10:57:28 PM IST  all   16.34    0.00    7.11    0.00    0.00    3.30    0.00    0.00    0.00   73.24
10:57:29 PM IST  all   16.26    0.00    7.11    0.08    0.00    2.71    0.00    0.00    0.00   73.84
10:57:30 PM IST  all   16.03    0.00    7.51    0.00    0.00    2.95    0.00    0.00    0.00   73.50
10:57:31 PM IST  all   15.82    0.00    7.78    0.00    0.00    3.30    0.00    0.00    0.00   73.10
10:57:32 PM IST  all   16.01    0.00    8.00    0.00    0.00    2.95    0.00    0.00    0.00   73.04
10:57:33 PM IST  all   16.37    0.00    7.38    0.00    0.00    2.63    0.00    0.00    0.00   73.62
10:57:34 PM IST  all   15.88    0.00    6.76    0.00    0.00    3.89    0.00    0.00    0.00   73.48
10:57:35 PM IST  all   16.29    0.00    7.64    0.00    0.00    3.27    0.00    0.00    0.00   72.80
10:57:36 PM IST  all   16.29    0.00    7.17    0.00    0.00    2.70    0.00    0.00    0.00   73.84
10:57:37 PM IST  all   15.41    0.00    8.13    0.00    0.00    2.96    0.00    0.00    0.00   73.50
10:57:38 PM IST  all   16.18    0.00    6.81    0.00    0.00    2.90    0.00    0.00    0.00   74.11
10:57:39 PM IST  all   16.20    0.00    8.14    0.00    0.00    2.54    0.00    0.00    0.00   73.11
10:57:40 PM IST  all   16.18    0.00    7.25    0.00    0.00    3.54    0.00    0.00    0.00   73.04
10:57:41 PM IST  all   16.23    0.00    7.40    0.00    0.00    3.28    0.00    0.00    0.00   73.09
10:57:42 PM IST  all   16.27    0.00    7.08    0.00    0.00    3.71    0.00    0.00    0.00   72.93
10:57:43 PM IST  all   15.52    0.00    7.38    0.00    0.00    3.14    0.00    0.00    0.00   73.96
10:57:44 PM IST  all   15.85    0.00    7.71    0.00    0.00    3.05    0.00    0.00    0.00   73.39
10:57:45 PM IST  all   16.33    0.00    6.85    0.00    0.00    2.88    0.00    0.00    0.00   73.94
10:57:46 PM IST  all   15.81    0.00    7.27    0.00    0.00    3.04    0.00    0.00    0.00   73.88
10:57:47 PM IST  all   16.34    0.00    7.03    0.00    0.00    3.73    0.00    0.00    0.00   72.90
10:57:48 PM IST  all   16.27    0.00    7.00    0.00    0.00    3.46    0.00    0.00    0.00   73.27
10:57:49 PM IST  all   17.79    0.00    5.99    0.00    0.00    3.12    0.00    0.00    0.00   73.10
10:57:50 PM IST  all   15.94    0.00    8.77    0.08    0.00    2.70    0.00    0.00    0.00   72.51
10:57:51 PM IST  all   15.83    0.00    7.62    0.00    0.00    2.96    0.00    0.00    0.00   73.58
10:57:52 PM IST  all   16.32    0.00    7.57    0.00    0.00    2.94    0.00    0.00    0.00   73.17
10:57:53 PM IST  all   16.06    0.00    6.88    0.00    0.00    3.48    0.00    0.00    0.00   73.58
10:57:54 PM IST  all   15.71    0.00    8.15    0.00    0.00    2.94    0.00    0.00    0.00   73.19
10:57:55 PM IST  all   16.95    0.00    6.73    0.00    0.00    2.47    0.00    0.00    0.00   73.85
10:57:56 PM IST  all   16.44    0.00    8.76    0.00    0.00    2.75    0.00    0.00    0.00   72.04
10:57:57 PM IST  all   16.22    0.00    7.18    0.00    0.00    3.29    0.00    0.00    0.00   73.31
