procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
13  0 2058440 404500  48200 3352620    0    0  4112 13036 20397 115292 14  6 78  1  0  0
49  0 2058440 447464  48244 3343216    0    0     0 16664 20365 116756 13  6 80  1  0  0
31  1 2058440 438896  48244 3345804    8    0     8  7112 22143 121160 11  6 82  1  0  0
26  0 2058440 429888  48260 3374064    0    0     0  6704 20999 119728 13  7 79  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
48  0 2058440 420488  48268 3377212    0    0     0  6916 20147 117971 11  6 81  1  0  0
 3  1 2058440 416840  48276 3379532    0    0     0  7452 21163 120188 12  6 82  1  0  0
 0  0 2058440 519308  48276 3396344    0    0     0  4804 15381 85171  8  5 87  1  0  0
 0  0 2058440 534756  48276 3386964    0    0     0   248 1772 3553  1  0 99  0  0  0
 1  0 2058440 540104  48276 3379140    0    0     0   256 1834 4067  1  1 98  0  0  0
 0  0 2058440 540616  48284 3379444    0    0     0   116 1055 1793  0  0 99  1  0  0
 0  1 2058440 548528  48340 3360972   20    0    36   332 1716 3156  1  0 97  2  0  0
 0  0 2058440 553380  48340 3358736    0    0     0     0  711 1109  0  0 99  0  0  0
 0  0 2058440 552032  48340 3359224    0    0     0     0  470  505  1  0 99  0  0  0
 0  0 2058440 539292  48340 3371748    0    0     0     0  824 1185  0  0 99  0  0  0
 0  0 2058440 563648  48340 3351056    0    0     0     0  743 1187  1  0 99  0  0  0
 0  0 2058440 570784  48356 3350912    0    0     0   232 1234 1942  1  1 98  1  0  0
 0  0 2058440 568292  48372 3350712    0    0     0   132  933 1588  1  0 98  1  0  0
 0  0 2058440 563704  48372 3350792    0    0     0    80  614  646  0  0 99  0  0  0
 0  0 2058440 572592  48372 3336144    4    0     4     0 1185 1342  1  0 99  0  0  0
 0  0 2058440 574252  48372 3336840    0    0     0     0  506  549  0  0 99  0  0  0
 0  0 2058440 577436  48372 3336860    0    0     0     0  544  629  0  0 99  0  0  0
 0  1 2058440 582804  48388 3336584    0    0     0   456  824 1068  0  0 98  1  0  0
 0  0 2058440 579596  48388 3336608    0    0     0     8  523  747  0  0 99  1  0  0
 0  0 2058440 582728  48388 3336572    0    0     0     0  565  608  0  0 100  0  0  0
 0  0 2058440 586932  48388 3336636    0    0     0    36  572  660  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0 2058440 588376  48388 3336340    0    0     0     4  649  938  0  0 99  0  0  0
 0  0 2058440 590432  48404 3336672    0    0     0   108  662  864  0  0 99  0  0  0
 0  0 2058440 594204  48404 3344828    0    0     0     0  749  990  0  0 100  0  0  0
 0  0 2058440 590392  48404 3351212    0    0     0     8 1585 2759  1  0 98  0  0  0
 0  0 2058440 583412  48424 3349580    0    0     0   176 1347 2024  1  1 98  0  0  0
24  0 2058440 549312  48424 3353872    0    0     0  1088 9613 17532  4  4 91  0  0  0
52  0 2058440 472852  48432 3356140    0    0     0   340 26463 139137 13  7 80  0  0  0
52  0 2058440 476544  48432 3355792    0    0     0     8 32425 185326 14  7 79  0  0  0
51  0 2058440 450392  48432 3374352    0    0     0   164 31032 184089 14  7 79  0  0  0
51  0 2058440 456092  48440 3372424    0    0     8    24 30368 179592 15  7 77  0  0  0
51  0 2058440 450028  48448 3364348    0    0     0   108 30999 182711 15  7 77  0  0  0
51  0 2058440 449500  48448 3364592    0    0     0     8 30809 176686 16  7 77  0  0  0
51  0 2058440 457140  48456 3362684    8    0     8    20 30039 170657 16  7 77  0  0  0
51  0 2058440 463020  48472 3364884    0    0     0   200 31183 178214 16  8 76  1  0  0
50  0 2058440 461492  48472 3359688    0    0     0     0 32343 183064 16  8 76  0  0  0
50  0 2058440 484012  48472 3358840    0    0     0     0 32608 184736 14  7 78  0  0  0
 1  0 2058440 570940  48472 3375128    0    0     0   512 7806 37181  4  3 93  0  0  0
 0  0 2058440 571904  48472 3377648    0    0     0     0 1416 3029  1  0 98  0  0  0
 0  0 2058440 576364  48500 3377688    0    0     4   200 1318 2659  0  0 99  0  0  0
 0  0 2058440 577856  48500 3373320    0    0     0     0 1376 2760  1  0 99  0  0  0
 0  0 2058440 586384  48500 3356576    0    0     0     0 1084 1988  1  0 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0 2058440 592080  48500 3353796    0    0     0    60  608  696  0  0 100  0  0  0
 0  0 2058440 585160  48500 3356488    0    0     0     0 1278 2788  1  1 98  0  0  0
 0  0 2058440 594884  48516 3356492    0    0     0   152 2432 5086  1  1 98  1  0  0
 0  0 2058440 592076  48516 3356428    0    0     0     0 1197 2224  1  0 99  0  0  0
 0  0 2058440 591276  48516 3354372    0    0     0     0 1523 3056  1  0 99  0  0  0
 1  0 2058440 591280  48516 3353788    0    0     0   416 1665 3133  1  0 99  0  0  0
 0  0 2058440 543292  48516 3400780    0    0     8     0 3637 12771  3  1 95  0  0  0
 0  0 2058440 554124  48532 3388328    0    0     0    80 1595 3340  1  0 99  0  0  0
 1  0 2058440 553488  48532 3388340    0    0     0     0 1043 1778  2  0 98  0  0  0
 0  0 2058440 582984  48556 3357572   12    0    12   232 2730 4342 15  1 84  0  0  0
 1  0 2058440 549060  48556 3393520    0    0     0     0 1972 4979  2  1 97  0  0  0
 0  0 2058440 545188  48556 3397312    0    0     0     0 1286 2902  1  0 99  0  0  0
16  0 2058440 522924  48556 3385900    0    0     0   944 3232 11133  3  3 93  0  0  0
 1  0 2058440 543728  48564 3382020    0    0     0   372 17206 135066  6  5 89  0  0  0
 1  0 2058440 544892  48576 3375868    0    0     0    76 20481 168091  7  4 90  0  0  0
 2  0 2058440 582352  48576 3340600    0    0     0     0 20342 167944  7  4 90  0  0  0
 4  0 2058440 582556  48576 3340244    0    0     0     0 20334 167779  7  3 90  0  0  0
 1  0 2058440 582660  48576 3340252    0    0     0     8 20277 168015  7  4 90  0  0  0
 0  0 2058440 588516  48584 3357468    0    0     0   432 4910 35376  2  1 97  0  0  0
 0  0 2058440 588528  48592 3357500    0    0     0   112  661  913  0  0 99  0  0  0
 0  0 2058440 593904  48592 3346476    0    0     0    36  569  677  0  0 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0 2058440 596448  48592 3338504    0    0     0     0  597  769  0  0 100  0  0  0
 0  0 2058440 594316  48608 3338704    0    0     0   156 2170 4033  1  1 98  0  0  0
 0  0 2058440 596484  48624 3339372    0    0     0    88 1588 2764  1  0 99  0  0  0
 0  0 2058440 596868  48640 3339132    0    0     0    64  704  963  0  0 99  0  0  0
 0  0 2058440 596252  48640 3338456    0    0     0     0  561  660  0  0 99  0  0  0
 0  0 2058440 592480  48640 3347368    0    0     0     0  526  739  0  0 100  0  0  0
 0  0 2058440 584964  48640 3353172    0    0     0   204  894 1107  1  0 99  0  0  0
 0  0 2058440 586620  48640 3353164    0    0     0   104  496  598  0  0 100  0  0  0
 0  0 2058440 591824  48656 3346764    0    0     0   164  611  708  0  0 99  0  0  0
20  0 2058440 552412  48656 3351012    0    0     0  1200 4652 18078  6  5 89  0  0  0
21  0 2058440 546964  48656 3351328    0    0     0    32 16803 94191 10  7 84  0  0  0
 2  0 2058440 546928  48656 3347200    0    0     0     0 16825 96209 11  6 83  0  0  0
21  0 2058440 547356  48656 3341104    0    0     0     0 17156 96343 11  6 83  0  0  0
20  0 2058440 552024  48664 3341100    0    0     0    72 18316 102429 10  7 83  0  0  0
 0  0 2058440 581380  48672 3357372    0    0     0    24 17524 95089 11  5 83  0  0  0
 0  0 2058440 584844  48696 3357512    0    0     4   636 1068 1426  0  0 99  0  0  0
 0  0 2058440 587176  48696 3356164    0    0     0    44  854 1429  1  0 99  0  0  0
 0  0 2058440 594868  48696 3347600    0    0     0     0 1156 2209  1  0 99  0  0  0
 0  0 2058440 606492  48696 3339352    0    0     0     0 1256 2325  1  0 99  0  0  0
 0  0 2058440 607688  48720 3339380    0    0     0   196  860 1305  0  0 99  0  0  0
 0  0 2058440 603348  48720 3339164    0    0     0     0  681  816  0  0 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
15  0 2058440 552876  48720 3356076    4    0     4   368 1582 4506  2  1 97  0  0  0
50  0 2058440 482968  48720 3358000    0    0     0  1036 9812 50442  9  6 85  0  0  0
51  0 2058440 455444  48720 3378968    0    0    64    16 18268 118105 13  7 80  0  0  0
51  0 2058440 468684  48728 3362588    0    0     0    24 17635 116255 14  6 79  0  0  0
52  0 2058440 466224  48736 3361008    0    0     0    24 17968 117241 13  7 79  0  0  0
53  0 2058440 467432  48736 3360736    0    0     0     0 18418 117618 14  7 79  0  0  0
 0  0 2058440 544668  48736 3397480    0    0    44     4 11836 63936 11  5 84  0  0  0
 0  0 2058440 534692  48760 3392588    0    0     0   300 1103 1988  1  0 99  0  0  0
 0  0 2058440 535868  48760 3387432    0    0   188     0  924 1573  0  0 99  0  0  0
 1  0 2058440 567004  48768 3364008    0    0     0    16 1256 2596  1  1 98  0  0  0
 0  0 2058440 533004  48768 3386736    0    0     0     0 1439 3806  1  1 98  0  0  0
 0  0 2058440 537940  48768 3392292    0    0     0     0 1460 2788  1  1 98  0  0  0
 0  0 2058440 534808  48776 3386916    0    0     0    32  899  937  0  0 99  0  0  0
 0  0 2058440 543748  48776 3375492    0    0     0     4  920 1201  1  0 98  0  0  0
 0  0 2058440 551832  48776 3375504    0    0     0     0  770 1354  0  0 100  0  0  0
 0  0 2058440 568664  48784 3359332    0    0     0   464 2170 4508  1  0 98  0  0  0
 0  0 2058440 572368  48784 3361656    0    0     0     8 1880 4145  1  0 98  0  0  0
 0  0 2058440 520668  48792 3401044    0    0     0   224 2490 6568  3  1 96  0  0  0
 0  0 2058440 519696  48808 3403796    0    0     0   404 1346 2879  1  1 98  0  0  0
 0  0 2058440 530912  48808 3392132    0    0     0     0 1079 1713  1  0 99  0  0  0
 0  0 2058440 547104  48840 3379036    0    0     0   208 1168 1792  1  0 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0 2058440 505380  48852 3380780   12    0    16  1400 4811 16417  6  4 90  0  0  0
11  0 2058440 418352  48852 3386416    0    0     0    52 5632 19302 12 11 77  0  0  0
