procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 9  1 1752076 612416 105804 3858408    0    0     0  7468 18171 117664 11  6 82  1  0  0
22  0 1752076 606724 105812 3858440    0    0     0  6928 17154 115245 11  6 82  1  0  0
11  0 1752076 606924 105812 3858608    0    0     0  6900 16881 115657 10  6 83  1  0  0
27  0 1752076 607704 105812 3858984    0    0     0  6848 17457 115517 11  6 82  1  0  0
30  0 1752076 606076 105812 3859180    0    0     0  6840 18057 118142 11  6 83  1  0  0
 4  1 1752076 606400 105820 3858852    0    0    64  5692 15448 90968 10  6 83  1  0  0
51  0 1752076 571452 105828 3904804    0    0     0  5304 20376 114185 14  6 79  1  0  0
 1  1 1752076 559480 105828 3903120    0    0     0  5576 19841 114961 13  7 79  1  0  0
35  0 1752076 537812 105832 3911768    0    0     0  5864 18969 113399 13  7 79  1  0  0
48  1 1752076 542256 105832 3904524    0    0     0  6368 19445 116635 13  7 80  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
52  0 1752076 557292 105848 3895400    0    0     0  6020 21078 116566 14  7 78  1  0  0
48  0 1752076 519628 105872 3936704    4    0     8  6732 20498 116846 15  7 78  1  0  0
 7  1 1752076 508724 105872 3934932    0    0     0  6484 19608 118642 13  7 80  1  0  0
46  0 1752076 397452 105872 4051108    0    0     0  6036 19628 117746 14  7 78  1  0  0
16  2 1752076 387612 105880 4055968    0    0    36  6568 18877 117266 12  6 81  1  0  0
 0  1 1752076 415100 105880 4021220    0    0     0  6472 17370 113948 11  6 81  1  0  0
39  0 1752076 438776 105888 4000044    0    0   184  5856 19876 115890 15  6 78  1  0  0
31  0 1752076 428276 105920 3981552    0    0   360  8060 22116 117357 22  8 69  1  0  0
50  0 1752076 412740 105928 3977116    0    0     4  5924 22077 122533 17  7 75  1  0  0
 6  1 1752076 399832 105928 3968020    0    0     0  5624 22568 124735 17  9 74  1  0  0
45  0 1752076 384992 105976 3919892    0    0   772  6348 23176 120330 21  9 69  1  0  0
43  0 1752076 379212 105980 3919664    0    0     4  6688 18137 117135 13  6 80  1  0  0
31  0 1752076 381636 105996 3915216    0    0     0  7272 18390 118512 13  5 81  1  0  0
41  0 1752076 381936 105996 3914868    0    0     0  6992 18057 116305 12  7 81  1  0  0
48  0 1752076 378052 106012 3915484    0    0     0  6936 18121 117775 11  7 81  1  0  0
42  0 1752076 397004 106020 3914744    0    0     0  6608 18017 116085 12  6 81  1  0  0
27  0 1752076 406668 106020 3906452    0    0     0  6688 18459 118178 12  6 81  1  0  0
49  0 1752076 405732 106056 3906092    0    0     0  7012 17675 113993 12  6 81  1  0  0
41  0 1752076 399956 106064 3910288    4    0     4  7180 20041 118406 14  7 78  1  0  0
53  0 1752076 401192 106080 3912384    0    0   148  6068 21470 118952 15  7 77  1  0  0
